source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status,row_count_num,audit_reason,audit_decision,audit_correct_kind,audit_correct_codes,audit_notes
fsq,[Business and Professional Services > Office],19729,0.024786234587909534,psic,rev5,,,exact,,,category,Business and Professional Services Office,,,UNCODEABLE,,,,,,rule:broad_ontology_bucket,REVIEW_REQUIRED,19729,HIGH_FREQUENCY;ALL_UNCODEABLE,CORRECT,UNCODEABLE,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Community and Government > Residential Building > Apartment or Condo],13571,0.01704972322938417,psic,rev5,,,exact,,,category,Community and Government Residential Building Apartment or Condo,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,13571,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
overture,historic_site,11184,0.01405085141827666,psic,rev5,,,exact,,,category,historic site,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,11184,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
overture,real_estate_service,9272,0.01164873876522364,psic,rev5,,,exact,,,category,real estate activities,68,Real Estate Activities,SUBTREE,68,68|6821|68210|682|68290,Real Estate Activities || Intermediation service activities for real estate || Intermediation service activities for real estate || Real estate activities on a fee or contract basis || Other real estate activities on a fee or contract basis,1.000000|0.611677|0.611677|0.594507|0.568493,1.000000,semantic:overture:real_estate_service;retrieval:strong_separated_hit,REVIEW_REQUIRED,9272,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,68,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Business and Professional Services > Health and Beauty Service > Hair Salon],9021,0.011333398662756951,psic,rev5,,,exact,,,category,hairdressing beauty treatment day spa activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,962,962|9622|96220|9621|96211,"Hairdressing, beauty treatment, day spa and similar activities || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.860616|0.466881|0.466881|0.296729|0.262443,0.860616,semantic:fsq:beauty;retrieval:strong_separated_hit,REVIEW_REQUIRED,9021,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,TOO_BROAD,SUBTREE,9621,Hair Salon supports a narrower hairdressing branch than the whole 962 beauty/spa subtree.
overture,coffee_shop,8671,0.010893681388401012,psic,rev5,,,exact,,,category,operation of cafes or coffee shops,563,Beverage serving activities,EXACT,56302,56302|56303|56301|56304|5630,"Operation of cafés or coffee shops || Activities of tea shops || Operation of nightclubs, bars and cocktail lounges || Activities of beverage stands, kiosks and counters || Beverage serving activities",0.784830|0.296045|0.107429|0.008501|0.004505,0.784830,semantic:overture:coffee_shop;retrieval:strong_separated_hit,REVIEW_REQUIRED,8671,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,56302,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Landmarks and Outdoors > Structure],8433,0.010594673641838973,psic,rev5,,,exact,,,category,Landmarks and Outdoors Structure,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,8433,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Travel and Transportation > Road],7725,0.009705188412570386,psic,rev5,,,exact,,,category,Travel and Transportation Road,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,7725,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
overture,lodging,7404,0.00930190485523251,psic,rev5,,,exact,,,category,accommodation activities,55,Accommodation,SUBTREE,55,55|5510|551|5520|552,Accommodation || Hotels and similar accommodation activities || Hotels and similar accommodation activities || Other short term accommodation activities || Other short term accommodation activities,0.737428|0.590863|0.590863|0.573780|0.573780,0.737428,semantic:overture:lodging;retrieval:strong_separated_hit,REVIEW_REQUIRED,7404,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,55,Semantically defensible at the proposed PSIC hierarchy level.
overture,fast_food_restaurant,6631,0.008330757846440677,psic,rev5,,,exact,,,category,fast-food restaurant operations,561,Restaurants and mobile food service activities,EXACT,56102,56102|5610|561|56109|56103,"Fast-food restaurants operations, including quick service restaurant || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Activities of buffet restaurants",0.665390|0.220886|0.220886|0.211482|0.152129,0.665390,semantic:overture:fast_food_restaurant;retrieval:strong_separated_hit,REVIEW_REQUIRED,6631,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,56102,Semantically defensible at the proposed PSIC hierarchy level.
