source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
osm,shop=convenience,960,0.03380995985067268,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",SUBTREE,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:osm:shop=convenience;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,restaurant,625,0.022011692611115026,psic,rev5,,,exact,,,category,restaurants and mobile food service activities,561,Restaurants and mobile food service activities,,,561|5610|56109|56101|56103,"Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Full-service restaurants activities || Activities of buffet restaurants",1.000000|1.000000|0.975297|0.355586|0.327040,1.000000,semantic:overture:restaurant;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Business and Professional Services > Office],444,0.015637106430936114,psic,rev5,,,exact,,,category,Business and Professional Services Office,,,,,82|70200|702|7020|829,"Office Administrative, Office Support and Other Business Support Activities || Business and other management consultancy activities || Business and other management consultancy activities || Business and other management consultancy activities || Business support service activities n.e.c.",0.310858|0.284480|0.284480|0.284480|0.278917,0.310858,semantic:raw_category;retrieval:candidates,REVIEW_CANDIDATES
fsq,['Health and Medicine > Physician > Doctor\'s Office'],404,0.01422835810382475,psic,rev5,,,exact,,,category,medical and dental practice activities,862,Medical and dental practice activities,,,862|86210|8621|8622|86229,"Medical and dental practice activities || Public medical and dental practice activities || Public medical and dental practice activities || Private medical and dental practice activities || Private medical and dental practice activities, n.e.c.",1.000000|0.888677|0.888677|0.882239|0.856952,1.000000,semantic:fsq:medical_practice;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Community and Government > Residential Building > Apartment or Condo],391,0.01377051489751356,psic,rev5,,,exact,,,category,Community and Government Residential Building Apartment or Condo,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
overture,real_estate_service,387,0.013629640064802422,psic,rev5,,,exact,,,category,real estate activities,68,Real Estate Activities,SUBTREE,68,68|6821|68210|682|68290,Real Estate Activities || Intermediation service activities for real estate || Intermediation service activities for real estate || Real estate activities on a fee or contract basis || Other real estate activities on a fee or contract basis,1.000000|0.611677|0.611677|0.594507|0.568493,1.000000,semantic:overture:real_estate_service;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,christian_place_of_worship,344,0.012115235613157709,psic,rev5,,,exact,,,category,activities of religious organizations,9491,Activities of religious organizations,,,94910|9491,Activities of religious organizations || Activities of religious organizations,1.000000|1.000000,1.000000,semantic:overture:christian_place_of_worship;retrieval:candidates,REVIEW_CANDIDATES
overture,government_office,337,0.01186870465591322,psic,rev5,,,exact,,,category,general public administration activities,84,Public Administration and Defense; Compulsory Social Security,,,8411|84119|84113|84112|84,"General public administration activities || General public administration activities, n.e.c. || Public administration, local government || Public administration, regional government || Public Administration and Defense; Compulsory Social Security",1.000000|0.970994|0.430826|0.425038|0.356934,1.000000,semantic:overture:government_office;retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=school,334,0.011763048531379869,psic,rev5,,,exact,,,category,education activities primary secondary education,85,Education,,,8531|8532|85319|85|8520,"General secondary education || Vocational secondary education || General secondary education, n.e.c. || Education || Primary education",0.674050|0.645493|0.642456|0.638869|0.638395,0.674050,semantic:osm:amenity=school;retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=restaurant,331,0.011657392406846517,psic,rev5,,,exact,,,category,restaurants and mobile food service activities,561,Restaurants and mobile food service activities,,,561|5610|56109|56101|56103,"Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Full-service restaurants activities || Activities of buffet restaurants",1.000000|1.000000|0.975297|0.355586|0.327040,1.000000,semantic:osm:amenity=restaurant;retrieval:candidates,REVIEW_CANDIDATES
overture,hotel,327,0.01151651757413538,psic,rev5,,,exact,,,category,hotels and similar accommodation activities,551,Hotels and similar accommodation activities,,,551|5510|55109|55101|55103,"Hotels and similar accommodation activities || Hotels and similar accommodation activities || Hotels and similar accommodation activities, n.e.c. || Operation of hotels || Operation of resort hotels",1.000000|1.000000|0.973771|0.313173|0.236172,1.000000,semantic:overture:hotel;retrieval:candidates,REVIEW_CANDIDATES
overture,coffee_shop,312,0.01098823695146862,psic,rev5,,,exact,,,category,operation of cafes or coffee shops,563,Beverage serving activities,SUBTREE,56302,56302|56303|56301|56304|5630,"Operation of cafés or coffee shops || Activities of tea shops || Operation of nightclubs, bars and cocktail lounges || Activities of beverage stands, kiosks and counters || Beverage serving activities",0.784830|0.296045|0.107429|0.008501|0.004505,0.784830,semantic:overture:coffee_shop;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,lodging,303,0.010671268577868563,psic,rev5,,,exact,,,category,accommodation activities,55,Accommodation,SUBTREE,55,55|5510|551|5520|552,Accommodation || Hotels and similar accommodation activities || Hotels and similar accommodation activities || Other short term accommodation activities || Other short term accommodation activities,0.737428|0.590863|0.590863|0.573780|0.573780,0.737428,semantic:overture:lodging;retrieval:strong_separated_hit,REVIEW_REQUIRED
osm,office=government,295,0.01038951891244629,psic,rev5,,,exact,,,category,general public administration activities,84,Public Administration and Defense; Compulsory Social Security,,,8411|84119|84113|84112|84,"General public administration activities || General public administration activities, n.e.c. || Public administration, local government || Public administration, regional government || Public Administration and Defense; Compulsory Social Security",1.000000|0.970994|0.430826|0.425038|0.356934,1.000000,semantic:osm:government;retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=fast_food,286,0.010072550538846235,psic,rev5,,,exact,,,category,fast-food restaurant operations,561,Restaurants and mobile food service activities,SUBTREE,56102,56102|5610|561|56109|56103,"Fast-food restaurants operations, including quick service restaurant || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Activities of buffet restaurants",0.665390|0.220886|0.220886|0.211482|0.152129,0.665390,semantic:osm:amenity=fast_food;retrieval:strong_separated_hit,REVIEW_REQUIRED
fsq,[Dining and Drinking > Restaurant > Asian Restaurant > Filipino Restaurant],281,0.009896456997957315,psic,rev5,,,exact,,,category,restaurants and mobile food service activities,561,Restaurants and mobile food service activities,,,561|5610|56109|56101|56103,"Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Full-service restaurants activities || Activities of buffet restaurants",1.000000|1.000000|0.975297|0.355586|0.327040,1.000000,semantic:fsq:restaurant;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Landmarks and Outdoors > Structure],277,0.009755582165246178,psic,rev5,,,exact,,,category,Landmarks and Outdoors Structure,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
overture,professional_service,269,0.009473832499823906,psic,rev5,,,exact,,,category,professional scientific and technical activities,N,"Professional, Scientific, and Technical Activities",,,N|74|749|7499|74999,"Professional, Scientific, and Technical Activities || Other Professional, Scientific and Technical Activities || Other professional, scientific and technical activities n.e.c. || All other professional, scientific and technical activities n.e.c. || All other specialized professional, scientific and technical activities, n.e.c.",0.948424|0.920848|0.910728|0.854669|0.772121,0.948424,semantic:overture:professional_service;retrieval:candidates,REVIEW_CANDIDATES
fsq,"['Dining and Drinking > Cafe, Coffee, and Tea House > Café']",262,0.009227301542579417,psic,rev5,,,exact,,,category,beverage serving activities cafes coffee shops,563,Beverage serving activities,,,563|5630|56309|56302|56303,"Beverage serving activities || Beverage serving activities || Beverage serving activities, n.e.c. || Operation of cafés or coffee shops || Activities of tea shops",0.700880|0.700880|0.669606|0.453103|0.299470,0.700880,semantic:fsq:beverage;retrieval:candidates,REVIEW_CANDIDATES
