"source","source_value","row_count","row_share","scheme","version","mapping_kind","codes","match_type","confidence","notes","source_field","query_text","suggested_kind","suggested_codes","candidate_codes","candidate_titles","candidate_scores","retrieval_score","suggestion_source","review_status"
"osm","shop=convenience","960","0.03380995985067268","psic","rev5","","","exact","","","category","convenience shop","","","47114|4642|46429|8230|82300","Retail selling in convenience stores || Wholesale of household, office and shop furniture, carpets and lighting equipment || Wholesale of household, office and shop furniture, carpets and lighting equipment, n.e.c. || Organization of conventions and trade shows || Organization of conventions and trade shows","0.424131|0.175013|0.172815|0.100146|0.100146","0.424131","retrieval:candidates","REVIEW_CANDIDATES"
"overture","restaurant","625","0.022011692611115026","psic","rev5","","","exact","","","category","restaurant","","","56102|56103|5610|561|56109","Fast-food restaurants operations, including quick service restaurant || Activities of buffet restaurants || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c.","0.436430|0.244594|0.233516|0.233516|0.220580","0.436430","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Business and Professional Services > Office]","444","0.015637106430936114","psic","rev5","","","exact","","","category","Business and Professional Services Office","","","941|82|702|7020|70200","Activities of business, employers and professional membership organizations || Office Administrative, Office Support and Other Business Support Activities || Business and other management consultancy activities || Business and other management consultancy activities || Business and other management consultancy activities","0.414183|0.310858|0.284480|0.284480|0.284480","0.414183","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","['Health and Medicine > Physician > Doctor\'s Office']","404","0.01422835810382475","psic","rev5","","","exact","","","category","Health and Medicine Physician Doctor's Office","","","R|86|869|8699|86999","Human Health and Social Work Activities || Human Health Activities || Other human health activities || Other human health activities n.e.c. || All other human health activities, n.e.c.","0.378227|0.279908|0.256537|0.248316|0.221116","0.378227","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Community and Government > Residential Building > Apartment or Condo]","391","0.01377051489751356","psic","rev5","","","exact","","","category","Community and Government Residential Building Apartment or Condo","","","55104|4100|41|410|41001","Operation of apartment hotels || Construction of residential and non-residential buildings || Construction of Residential and Non-residential Buildings || Construction of residential and non-residential buildings || Construction of residential buildings","0.285336|0.261450|0.261450|0.261450|0.242602","0.285336","retrieval:candidates","REVIEW_CANDIDATES"
"overture","real_estate_service","387","0.013629640064802422","psic","rev5","","","exact","","","category","real estate service","","","M|68|68210|6821|682","Real Estate Activities || Real Estate Activities || Intermediation service activities for real estate || Intermediation service activities for real estate || Real estate activities on a fee or contract basis","0.790914|0.790914|0.695100|0.695100|0.469656","0.790914","retrieval:candidates","REVIEW_CANDIDATES"
"overture","christian_place_of_worship","344","0.012115235613157709","psic","rev5","","","exact","","","category","christian place of worship","","","32998|94|949|9499|94990","Manufacture of articles for Christmas festivities || Activities of Membership Organizations || Activities of other membership organizations || Activities of other membership organizations n.e.c. || Activities of other membership organizations n.e.c.","0.151910|0.129995|0.126067|0.123469|0.123469","0.151910","retrieval:candidates","REVIEW_CANDIDATES"
"overture","government_office","337","0.01186870465591322","psic","rev5","","","exact","","","category","government office","","","84113|84112|64121|82|8210","Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking || Office Administrative, Office Support and Other Business Support Activities || Office administrative and support activities","0.386558|0.380305|0.297452|0.256585|0.225471","0.386558","retrieval:candidates","REVIEW_CANDIDATES"
"osm","amenity=school","334","0.011763048531379869","psic","rev5","","","exact","","","category","school amenity","","","85530|8553|22205|4761|47610","Driving school activities || Driving school activities || Manufacture of office or school supplies made of plastic || Retail sale of books, newspapers, stationery and other office and school supplies || Retail sale of books, newspapers, stationery and other office and school supplies","0.467900|0.467900|0.309304|0.249726|0.249726","0.467900","retrieval:candidates","REVIEW_CANDIDATES"
"osm","amenity=restaurant","331","0.011657392406846517","psic","rev5","","","exact","","","category","restaurant amenity","","","56102|56103|5610|561|56109","Fast-food restaurants operations, including quick service restaurant || Activities of buffet restaurants || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c.","0.394836|0.206236|0.196895|0.196895|0.185988","0.394836","retrieval:candidates","REVIEW_CANDIDATES"
